"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
692,290,"2","yes","5+","optic fiber | security door | balcony | half-day concierge | centralized tv system | partially furnished | window frames in glass / wood | double exposure","5","no","available","200",1930,"excellent / refurbished","quadronno - crocetta","3","central","f",2700000
693,136,"1","no","5+","electric gate | closet | terrace | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / wood | double exposure","4","no","available","100",1900,"good condition / liveable","isola","ground floor","independent","g",460000
694,86,"2","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc","6","2 in garage/box","available",NA,1993,"good condition / liveable","crescenzago","1","independent",NA,260000
695,115,"2","yes","3","video entryphone | cellar | private garden","7","1 in garage/box","available","No condominium fees",2023,"new / under construction","via calizzano","1","central","a",359000
696,108,"1","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | terrace | full day concierge | pool | centralized tv system | cellar | shared garden | window frames in double glass / metal","19","no","available",NA,2027,"new / under construction","cascina merlata - musocco","1","central",NA,662000
697,100,"1","yes","3","security door | balcony | full day concierge | cellar","8","no","available","No condominium fees",NA,"new / under construction","bande nere","2","central","g",570000
698,147,"2","yes","5","electric gate | attic | video entryphone | security door | internal exposure | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc","8","1 in garage/box","available","300",1965,"good condition / liveable","bande nere","5","central","g",690000
699,60,"1","yes","2","electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | private garden | window frames in double glass / wood | double exposure","4","no","available",NA,2019,"excellent / refurbished","sempione","ground floor","independent","a",670000
700,86,"1","yes","3","optic fiber | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","7","no","available","220",1960,"excellent / refurbished","san siro","6","central","c",342000
701,50,"1","yes","2","optic fiber | video entryphone | alarm system | security door | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","5","1 in garage/box","available","210",1998,"good condition / liveable","bicocca","1","independent","d",230000
702,82,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | terrace | centralized tv system | partially furnished | cellar | private garden | window frames in double glass / pvc","3","no","available from 30/06/2026",NA,2026,"new / under construction","famagosta","ground floor","central","a",467000
703,60,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc","6","no","available","120",1960,"excellent / refurbished","barona","4","central","g",280000
704,330,"3+","yes","5+","electric gate | fireplace | optic fiber | video entryphone | security door | external exposure | closet | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","8","2 in garage/box",NA,"990",1970,"excellent / refurbished","dezza","7","central","d",2500000
705,68,"1","yes","2","full day concierge | private garden","1 floor","no","available",NA,2024,"new / under construction","quintosole - chiaravalle","1","central","a",310000
706,145,"1","yes","4","optic fiber | security door | internal exposure | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / pvc","4","no","available","330",1970,"good condition / liveable","paolo sarpi","3","central","d",890000
707,90,"2","no","3","optic fiber | video entryphone | security door | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood | double exposure","6","no","available","100",1940,"excellent / refurbished","garibaldi - corso como","ground floor","independent","e",690000
708,40,"1","yes","2","security door | internal exposure | closet | balcony | half-day concierge | centralized tv system | furnished | window frames in double glass / pvc","5","no","available","150",1930,"excellent / refurbished","ghisolfa - mac mahon","4","central","f",225000
709,40,"1","yes","1","internal exposure | centralized tv system | furnished | shared garden | window frames in glass / wood","4","no","available from 01/05/2025","50",1940,"good condition / liveable","indipendenza","semi-basement","independent","g",290000
710,150,"2","yes","4","cellar | shared garden","8","1 in garage/box","available","1",2004,"good condition / liveable","vigentino - fatima","7","central","g",610000
711,85,"2","yes","2","tavern | optic fiber | security door | external exposure | closet | centralized tv system | furnished | shared garden | window frames in double glass / pvc","3","no","available","200",1950,"excellent / refurbished","cermenate - abbiategrasso","ground floor","central","g",315000
712,170,"1","yes","5","security door | external exposure | centralized tv system | window frames in double glass / pvc","8","no","available","330",1950,"good condition / liveable","arena","mezzanine","central","g",1100000
713,140,"2","yes","5+","alarm system | balcony | full day concierge | single tv system | cellar",NA,"no","available","240",1960,"to be refurbished","porta romana - medaglie d'oro","5","central","e",990000
714,83,"1","yes","2","optic fiber | security door | closet | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","5","no","available","241",1945,"good condition / liveable","porta romana - medaglie d'oro","4","central","f",520000
715,75,"1","yes","2","electric gate | optic fiber | security door | balcony | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","4","1 in shared parking","available","200",1964,"to be refurbished","chiesa rossa","4","central","e",270000
716,75,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | terrace | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / wood | double exposure","8","no","available","120",1970,"excellent / refurbished","turro","7","central",NA,285000
717,64,"2","yes","2","security door | half-day concierge | partially furnished","4","no","available","138",1800,"excellent / refurbished","borgogna - largo augusto","1","independent","f",890000
718,65,"2","no","3","optic fiber | video entryphone | security door | centralized tv system | window frames in double glass / metal | double exposure","5","no","available","80",1967,"new / under construction","farini","4","central","d",375000
719,80,"1","yes","3","electric gate | video entryphone | security door | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","7","no","available","150",1960,"good condition / liveable","maggiolina","mezzanine","central","f",299000
720,100,"2","yes","3","optic fiber | video entryphone | security door | closet | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure","5","no","available","100",1930,"excellent / refurbished","gorla","1","independent","b",448000
721,80,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | double exposure","8","no","available","200",1970,"excellent / refurbished","inganni","1","central","g",320000
722,123,"2","yes","3","video entryphone | balcony | full day concierge | cellar | double exposure","8","no",NA,"No condominium fees",NA,"good condition / liveable","corvetto","5","central","d",475000
723,50,"1","yes","2","attic | optic fiber | video entryphone | security door | external exposure | centralized tv system | furnished | window frames in double glass / pvc","3","no","available","180",1970,"good condition / liveable","centrale","2","central",NA,365000
724,48,"1","yes","1","electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | centralized tv system | cellar | window frames in double glass / pvc","6","no","available","120",NA,"excellent / refurbished","lambrate","4","central","d",220000
725,102,"2","yes","3","electric gate | optic fiber | internal exposure | balcony | centralized tv system | cellar | shared garden","16","1 in garage/box","available","250",1974,"good condition / liveable","ca' granda","2","central",NA,329000
726,100,"2","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","9","1 in garage/box","available","135",NA,"excellent / refurbished","rubattino","3","central","c",440000
727,116,"2","no","4","electric gate | optic fiber | alarm system | security door | balcony | tv system with satellite dish | window frames in glass / wood | double exposure","2","no","available","90",1970,"to be refurbished","certosa","1","independent","f",448000
728,269,"3+","no","5+","electric gate | fireplace | tavern | video entryphone | alarm system | closet | terrace | single tv system | cellar | private garden | window frames in double glass / metal | double exposure","2","1 in garage/box, 1 in shared parking","available","No condominium fees",1987,"good condition / liveable","cantalupa - san paolo","ground floor","independent","f",795000
729,170,"2","yes","4","optic fiber | video entryphone | security door | full day concierge | centralized tv system | window frames in double glass / wood | double exposure","4","no","available","300",1920,"to be refurbished","guastalla","1","central","g",1180000
730,120,"1","yes","4","optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / wood | double exposure","4","no","available","200",1910,"good condition / liveable","buenos aires","1","central","f",630000
731,48,"1","no","2","optic fiber | security door | internal exposure | single tv system | window frames in double glass / metal","4","no","available","80",1910,"to be refurbished","isola","3","independent","g",240000
732,135,"2","yes","3","electric gate | alarm system | closet | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","7","no","available","350",1954,"to be refurbished","buenos aires","5","central","g",765000
733,125,"2","yes","3","alarm system | security door | balcony | centralized tv system | private garden | window frames in double glass / pvcdouble exposure","4","no","available","300",1940,"excellent / refurbished","morgagni","mezzanine","central","d",895000
734,75,"1","no","3","optic fiber | security door | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","4","no","available","200",1930,"good condition / liveable","corvetto","mezzanine","central","f",4e+05
735,138,"2","yes","3","electric gate | optic fiber | alarm system | balcony | centralized tv system | partially furnished | window frames in double glass / wood | double exposure","4","1 in garage/box","available","450",1950,"good condition / liveable","duomo","3","central","c",1240000
736,65,"1","yes","2","electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / metal | double exposure","5","no","available","165",1950,"good condition / liveable","martini - insubria","5","central","g",320000
737,48,"1","yes","2","electric gate | optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | window frames in double glass / wood | double exposure","4","no","available",NA,NA,"excellent / refurbished","piave - tricolore","4","central","f",475000
738,90,"1","yes","3","electric gate | optic fiber | security door | balcony | centralized tv system | furnished | shared garden | window frames in double glass / metal | double exposure","7","no",NA,"240",1970,"excellent / refurbished","roserio","6","central",NA,203000
739,125,"2","yes","3","electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","no","available","333",1950,"good condition / liveable","quadronno - crocetta","1","central","e",785000
740,101,"2","yes","3","kitchen | balcony | partially furnished | window frames in glass / wood | exposure south, west","5","1 in garage/box","available","245",1976,"excellent / refurbished","istria","4","central","e",480000
741,50,"1","yes","2","electric gate | optic fiber | security door | external exposure | terrace | full day concierge | centralized tv system | window frames in double glass / metal","4","no",NA,"150",1960,"excellent / refurbished","centrale","4","central","g",420000
742,200,"3","yes","5","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","6","1 in garage/box","available",NA,1970,"good condition / liveable","ticinese","5","central",NA,1850000
743,65,"1","yes","3","optic fiber | video entryphone | alarm system | security door | internal exposure | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","5","no","available","125",1908,"excellent / refurbished","porta romana - medaglie d'oro","2","independent","d",449000
744,164,"2","yes","4","hydromassage | electric gate | optic fiber | video entryphone | security door | balcony | terrace | pool | shared garden | window frames in double glass / pvcdouble exposure","3","no","available",NA,2023,"new / under construction","quartiere adriano","3","independent","a",705000
745,130,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | full day concierge | centralized tv system | cellar | window frames in glass / pvcdouble exposure","6","2 in garage/box, 1 in shared parking","available","200",1970,"good condition / liveable","indipendenza","3","central","g",1150000
746,120,"2","yes","3","terrace | full day concierge | furnished | shared garden","13","1 in garage/box, 1 in shared parking","available","120",1990,"good condition / liveable","giambellino","8","central","f",375000
747,70,"1","yes","2","security door | internal exposure | closet | terrace | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / wood","7","no","available","200",2008,"good condition / liveable","giambellino","2","central","d",230000
748,190,"2","yes","5","optic fiber | video entryphone | security door | balcony | furnished | cellar | double exposure","5","no","available from 02/11/2023","600",1920,"good condition / liveable","porta venezia","4","central","e",1249000
749,55,"1","yes","2","security door | balcony | centralized tv system | window frames in double glass / metal | double exposure","4","no","available","No condominium fees",1930,"excellent / refurbished","farini","2","independent",NA,269000
750,30,"1","no","1","optic fiber | internal exposure | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / wood","4","no","available","25",1930,"excellent / refurbished","dergano","4","independent","f",110000
751,91,"1","yes","3","electric gate | optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","8","1 in garage/box, 1 in shared parking","available","250",1960,"good condition / liveable","monte stella","1","central","e",330000
752,80,"1","yes","3","security door | balcony | full day concierge | cellar","7","no","available","No condominium fees",NA,"new / under construction","buenos aires","6","central","g",661000
753,99,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | window frames in double glass / metal | double exposure","6","1 in garage/box","available","200",1960,"good condition / liveable","lambrate","3","central","g",299000
754,120,"1","yes","3","fireplace | optic fiber | alarm system | balcony | full day concierge | cellar | window frames in double glass / wood | double exposure","5","no","available",NA,1920,"to be refurbished","piave - tricolore","mezzanine","central","f",1100000
755,95,"1","yes","3","optic fiber | alarm system | security door | external exposure | closet | full day concierge | centralized tv system | partially furnished | window frames in double glass / wood","6","no","available","300",1950,"excellent / refurbished","arena","mezzanine","central","e",790000
756,68,"1","yes","2","video entryphone | balcony | cellar","2","1 in garage/box","available","200",2008,"good condition / liveable","giambellino","ground floor","central","f",350000
757,97,"1","yes","3","electric gate | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / metal | double exposure","5","1 in shared parking","available from 31/05/2024","267",1975,"excellent / refurbished","bisceglie","2","central","e",310000
758,105,"1","no","3","security door | balcony | centralized tv system | shared garden | window frames in glass / wood | double exposure","2","no","available","200",1950,"good condition / liveable","san siro","1","central","e",430000
759,100,"1","yes","3","electric gate | fireplace | optic fiber | video entryphone | alarm system | security door | balcony | terrace | centralized tv system | partially furnished | window frames in double glass / wood | double exposure","6","1 in garage/box","available","290",2010,"excellent / refurbished","san siro","5","central","c",435000
760,103,"2","yes","3","electric gate | video entryphone | security door | internal exposure | closet | balcony | terrace | half-day concierge | cellar | shared garden | window frames in double glass / metal","14","no",NA,"210",2006,"good condition / liveable","giambellino","2","independent","b",650000
761,165,"3","yes","5","optic fiber | security door | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure","4","2 in garage/box","available","500",1930,"excellent / refurbished","piave - tricolore","3","central","g",2600000
762,115,"1","yes","4","optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc","8","no","available","290",1970,"excellent / refurbished","parco trotter","7","central","d",528000
763,95,"1","yes","3","security door | external exposure | full day concierge | single tv system | window frames in glass / pvc","4","no","available",NA,2023,"excellent / refurbished","bisceglie","mezzanine","central","g",229000
764,140,"2","yes","4","optic fiber | balcony | centralized tv system | cellar | window frames in glass / wood | double exposure","7","no","available from 31/07/2024","185",1957,"to be refurbished","udine","7","central","g",545000
765,80,"1","yes","1","electric gate | optic fiber | full day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / pvcdouble exposure","6","1 in shared parking",NA,NA,1970,"good condition / liveable","gallaratese","ground floor","central","f",225000
766,109,"1","yes","3","security door | external exposure | balcony | centralized tv system | partially furnished | window frames in double glass / metal","4","no","available","250",1955,"good condition / liveable","certosa","2","central","f",380000
767,100,"1","yes","3","security door | balcony | full day concierge | cellar","6","no","available","No condominium fees",NA,"new / under construction","cenisio","5","central","g",590000
768,100,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in triple glass / metal","7","no","available","250",2026,"new / under construction","corvetto","5","central","a",674809
769,22,"1","yes","1","optic fiber | video entryphone | security door | internal exposure | half-day concierge | centralized tv system | window frames in double glass / pvc","4","no","available","70",1930,"excellent / refurbished","parco trotter","4","independent","g",139000
770,191,"2","yes","4","hydromassage | electric gate | fireplace | tavern | optic fiber | video entryphone | alarm system | security door | balcony | terrace | centralized tv system | window frames in double glass / metal | double exposure","2","2 in garage/box","available","No condominium fees",2007,"excellent / refurbished","dergano","2","independent","b",486000
771,55,"1","no","2","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | full day concierge | tv system with satellite dish | partially furnished | window frames in double glass / metal","3","no","available","208",1960,"excellent / refurbished","missori","ground floor","central","a",450000
772,60,"1","yes","2","electric gate | attic | optic fiber | security door | half-day concierge | centralized tv system | window frames in double glass / pvcdouble exposure","4","no","available from 30/04/2026","50",1954,"good condition / liveable","quarto oggiaro","2","independent","d",130000
773,70,"1","yes","2","electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","8","1 in shared parking","available","200",NA,"excellent / refurbished","giambellino","5","central","e",198000
774,45,"1","yes","2","optic fiber | security door | internal exposure | centralized tv system | furnished | window frames in double glass / wood","4","no","available","60",1960,"excellent / refurbished","ripamonti","ground floor","independent","g",229000
775,50,"2","yes","1","electric gate | optic fiber | alarm system | security door | internal exposure | closet | balcony | terrace | centralized tv system | furnished | shared garden | window frames in glass / metal","3","1 in shared parking","available","89",1920,"excellent / refurbished","vercelli - wagner","mezzanine","central","f",390000
776,63,"1","yes","2","electric gate | optic fiber | security door | internal exposure | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / wood","6","no","available","200",1960,"good condition / liveable","san siro","3","central","g",219000
777,137,"3","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | terrace | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc","7","1 in garage/box","available","No condominium fees",2024,"new / under construction","quartiere adriano","1","central","a",510000
778,72,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | single tv system | cellar | shared garden | double exposure","6","1 in garage/box","available","215",1970,"excellent / refurbished","quartiere olmi","3","central","f",198000
779,200,"3","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | terrace | full day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","7","1 in garage/box","available",NA,1970,"excellent / refurbished","pezzotti - meda","7","independent","g",1090000
780,50,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | full day concierge | centralized tv system | furnished | double exposure","4","no","available","200",NA,"excellent / refurbished","cenisio","2","central","b",540000
781,89,"1","no","2","electric gate | optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in glass / pvcdouble exposure","4","no","available","85",1920,"good condition / liveable","farini","2","independent","g",420000
782,60,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | terrace | centralized tv system | cellar | shared garden | window frames in double glass / pvc","7","no",NA,"100",2013,"excellent / refurbished","cascina merlata - musocco","1","independent",NA,225000
783,80,"1","yes","2","electric gate | optic fiber | security door | internal exposure | terrace | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvc","3","no","available",NA,NA,"good condition / liveable","quarto oggiaro","3","central","c",245000
784,70,"1","yes","2","electric gate | security door | internal exposure | centralized tv system | partially furnished | window frames in triple glass / pvc","6","no","available","180",1960,"excellent / refurbished","navigli - darsena","ground floor","central",NA,270000
785,97,"1","yes","3","balcony | cellar | shared garden","5","no","available","275",1960,"good condition / liveable","chiesa rossa","1","central","f",259000
786,130,"2","yes","4","electric gate | attic | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","8","1 in garage/box, 1 in shared parking","available","400",1960,"good condition / liveable","città studi","5","central",NA,680000
787,90,"1","yes","3","video entryphone | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood | double exposure","10","no","available","267",1960,"good condition / liveable","monte stella","9","central","f",439000
788,150,"2","yes","4","optic fiber | security door | balcony | terrace | full day concierge | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","9","no","available","450",1960,"excellent / refurbished","morgagni","9","central","c",1158000
789,95,"1","yes","3","electric gate | optic fiber | security door | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure","4","no","available","100",1920,"good condition / liveable","rovereto","1","independent","g",369000
790,90,"1","no","3","optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | window frames in double glass / pvc","4","no","available","120",1970,"to be refurbished","ponte nuovo","ground floor","central","f",220000
791,80,"1","yes","3","security door | external exposure | balcony | centralized tv system | window frames in double glass / pvc","9","no","available","100",1960,"excellent / refurbished","melchiorre gioia","9","independent","f",598000
792,40,"1","yes","2","optic fiber | internal exposure | centralized tv system | partially furnished | window frames in glass / wood","4","no","available from 30/04/2024","100",1910,"good condition / liveable","porta romana - medaglie d'oro","mezzanine","central","g",295000
793,60,"1","yes","2","electric gate | optic fiber | internal exposure | closet | balcony | centralized tv system | cellar | window frames in double glass / metal","4","no","available","150",1960,"good condition / liveable","famagosta","1","central","g",225000
794,55,"1","no","2","electric gate | optic fiber | video entryphone | external exposure | centralized tv system | private garden","4","no","available","83",1930,"new / under construction","gorla","mezzanine","independent","e",250000
795,112,"1","yes","3","optic fiber | security door | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","6","1 in shared parking","available","208",1960,"good condition / liveable","certosa","2","central","g",347000
796,135,"2","yes","4","electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | window frames in glass / wood","8","no","available","300",1965,"good condition / liveable","cascina dei pomi","4","central","f",575000
797,225,"3","yes","5","optic fiber | security door | balcony | terrace | half-day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","7","no","available","625",1940,"good condition / liveable","washington","5","central",NA,1770000
798,31,"1","yes","1","electric gate | optic fiber | security door | internal exposure | balcony | centralized tv system | window frames in double glass / pvc","3","no","available","75",1950,"good condition / liveable","niguarda","3","independent","g",129000
799,55,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","5","no","available","160",1960,"excellent / refurbished","san siro","5","central","g",219000
800,67,"1","yes","3","centralized tv system | cellar","3","no","available","160",1950,"good condition / liveable","trenno","2","central","g",215000
801,85,"1","yes","3","electric gate | optic fiber | security door | internal exposure | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc","5","1 in shared parking","available","220",1956,"good condition / liveable","paolo sarpi","ground floor","central","f",440000
802,90,"1","no","3","balcony | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","4","no",NA,"125",1940,"good condition / liveable","dergano","mezzanine","independent","g",348000
803,87,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","9","1 in shared parking","available","245",1967,"excellent / refurbished","quartiere olmi","mezzanine","central",NA,185000
804,90,"1","yes","3","security door | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure","5","no","available","210",1960,"excellent / refurbished","pasteur","4","central","f",535000
805,45,"1","yes","2","optic fiber | external exposure | full day concierge | centralized tv system | shared garden","8","no","available","130",1970,"excellent / refurbished","san carlo","8","central","f",248000
806,60,"1","yes","2","optic fiber | video entryphone | alarm system | security door | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure","7","no","available","80",1961,"excellent / refurbished","carrobbio","1","central","c",570000
807,100,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","6","no",NA,"290",1968,"to be refurbished","moscova","5","independent","e",760000
808,76,"1","no","3","electric gate | optic fiber | security door | centralized tv system | cellar | window frames in double glass / wood | double exposure","2","no","available","250",1960,"excellent / refurbished","baggio","ground floor","central","g",214000
809,80,"1","yes","3","optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | window frames in double glass / pvc","7","no","available","133",NA,"excellent / refurbished","navigli - darsena","2","central","g",440000
810,67,"1","yes","2","attic | optic fiber | external exposure | closet | centralized tv system | furnished | window frames in double glass / wood","5","no","available","100",1900,"good condition / liveable","isola","4","independent","e",435000
811,74,"1","yes","2","optic fiber | security door | internal exposure | terrace | centralized tv system | shared garden | window frames in triple glass / pvc","7","1 in garage/box","available","No condominium fees",2024,"new / under construction","giambellino","2","central","a",303000
812,105,"2","yes","3","video entryphone | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","12","1 in garage/box","available","166",2010,"good condition / liveable","quartiere adriano","7","central","e",359000
813,56,"1","yes","2","optic fiber | video entryphone | security door | closet | balcony | single tv system | furnished | cellar | window frames in double glass / pvc","6","no","available","320",1964,"excellent / refurbished","solari","5","central","d",379000
814,230,"3","yes","5+","electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","5","no","available","650",1970,"excellent / refurbished","centrale","4","central","g",1800000
815,65,"1","yes","2","electric gate | optic fiber | video entryphone | security door | balcony | terrace | full day concierge | centralized tv system | window frames in double glass / wood | double exposure","7","no","available","300",1940,"good condition / liveable","palestro","7","central","f",799000
816,85,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | balcony | centralized tv system | window frames in triple glass / pvc","4","no","available",NA,2024,"new / under construction","navigli - darsena","2","independent","a",660000
817,122,"2","yes","5","optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","7","no","available","230",1970,"excellent / refurbished","bisceglie","3","independent","d",475000
818,240,"3","yes","5","optic fiber | video entryphone | alarm system | security door | closet | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","6","no","available","650",1960,"to be refurbished","sempione","2","central","f",1450000
819,55,"1","yes","2","electric gate | optic fiber | security door | centralized tv system | partially furnished | shared garden | window frames in glass / metal | double exposure","4","no","available","25",1960,"excellent / refurbished","cermenate - abbiategrasso","semi-basement","independent",NA,220000
820,81,"2","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | terrace | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","5","no","available","125",1990,"good condition / liveable","bruzzano","4","independent",NA,249000
821,80,"1","no","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | single tv system | cellar | window frames in double glass / metal","4","no","available","165",1950,"good condition / liveable","cimiano","3","central",NA,215000
822,180,"3","yes","5","security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","5","no","available","267",1900,"good condition / liveable","piave - tricolore","3","independent","f",1830000
823,115,"2","no","4","optic fiber | video entryphone | alarm system | security door | terrace | centralized tv system | private garden | window frames in double glass / metal | double exposure","3","no","available","210",1960,"excellent / refurbished","monte rosa - lotto","1","independent","e",1230000
824,122,"1","no","3","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | terrace | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","3","1 in garage/box, 1 in shared parking","available","100",1960,"good condition / liveable","crescenzago","3","independent","g",260000
825,93,"1","no","2","video entryphone | alarm system | full day concierge | furnished | cellar",NA,"no","available","50",1970,"excellent / refurbished","monte rosa - lotto","ground floor","independent","d",499000
826,160,"2","yes","5","security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","6","no","available from 30/11/2025","300",1950,"good condition / liveable","montenero","4","central","f",980000
827,45,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | half-day concierge | centralized tv system | furnished | window frames in double glass / pvc","7","no","available","95",NA,"new / under construction","porta romana - medaglie d'oro","4","central","c",299000
828,160,"2","yes","3","reception | kitchen | balcony | terrace | partially furnished | shared garden | window frames in double glass / metal | exposure south, east, west","8","no",NA,"370",1960,"excellent / refurbished","piazzale siena","8","central","f",990000
829,100,"2",NA,"3","reception | kitchen | partially furnished | cellar | window frames in glass / pvcexposure north, south, west","7","no","available","625",1964,"excellent / refurbished","ticinese","5","central",NA,925000
830,55,"1","yes","2","optic fiber | video entryphone | security door | internal exposure | half-day concierge | centralized tv system | only kitchen furnished | shared garden | window frames in double glass / pvc","6","1 in shared parking","available","70",1970,"new / under construction","affori","ground floor","independent","d",215000
